Layer,Name,GEOID,Population,INC_2019-2023,PCT-W_2019-2023,SNP_2019-2023
Census tract,Tract 101,17031010100,4905,69459.99999999999,34.80944712828771,16.75799086757991
Census tract,Tract 102.01,17031010201,6939,49638.99999999999,18.52925672113864,20.11191573403555
Census tract,Tract 102.02,17031010202,2742,55118.99999999999,37.06400919892679,20.61946902654867
Census tract,Tract 103,17031010300,6305,65870.99999999999,49.025511012517825,13.563579277864992
Census tract,Tract 104,17031010400,5079,49017,74.10088743577768,22.40038872691934
Census tract,Tract 105.01,17031010501,4206,48249.99999999999,63.00085251491902,13.787305590584278
Census tract,Tract 105.02,17031010502,3278,61366.99999999999,63.35235806548513,11.17898594990837
Census tract,Tract 105.03,17031010503,2565,21924,62.869198312236286,31.685849695328365
Census tract,Tract 106,17031010600,6225,71920,54.23375074537865,11.252446183953031
Census tract,Tract 107.01,17031010701,3673,74208,35.292471312622446,7.142857142857142
Census tract,Tract 107.02,17031010702,4776,58288.99999999999,22.37708091366628,17.71771771771772
Census tract,Tract 201,17031020100,4202,69849.99999999999,20.75750122970979,16.180048661800488
Census tract,Tract 202,17031020200,7128,115559,45.76130549025031,9.654827413706856
Census tract,Tract 203.01,17031020301,5261,76327,81.15942028985508,8.026755853
Census tract,Tract 203.02,17031020302,5010,81562.99999999999,71.16690677094051,5.084745762711865
Census tract,Tract 204,17031020400,4435,81839.99999999999,35.630057803468205,12.53661394258934
Census tract,Tract 205,17031020500,6599,46457.99999999999,19.835197174808712,30.128205128205128
Census tract,Tract 206.01,17031020601,6699,62015,46.68679752,31.676413255360625
Census tract,Tract 206.02,17031020602,4662,87804,32.13526570048309,15.766604593420237
Census tract,Tract 207.01,17031020701,1879,101249.99999999999,54.40383463151588,9.224598930481283
Census tract,Tract 207.02,17031020702,7717,76812,35.06370929683813,20.948934459187775
Census tract,Tract 208.01,17031020801,5648,73151,47.92584434654919,10.998151571164511
Census tract,Tract 208.02,17031020802,7546,70044,24.015435251390308,33.45882352941176
Census tract,Tract 209.01,17031020901,5848,52377.99999999999,21.424040596257537,27.07956600361663
Census tract,Tract 209.02,17031020902,4488,47963,33.721759809750296,27.04603581
Census tract,Tract 301.01,17031030101,3687,49131.99999999999,47.10965435041716,25.948196114708605
Census tract,Tract 301.02,17031030102,3121,59621.99999999999,44.078754040552454,17.69733534439417
Census tract,Tract 301.03,17031030103,2104,55651,47.04347826086956,8.982584784601283
Census tract,Tract 301.04,17031030104,3521,47329.99999999999,55.13084386945016,5.465004793863854
Census tract,Tract 302,17031030200,5627,103757.99999999999,59.33887283236994,2.250296091590999
Census tract,Tract 303,17031030300,3148,67142.99999999999,32.322619769557306,22.925170068027217
Census tract,Tract 304,17031030400,2597,97441.99999999999,58.98954703832753,15.066469719350073
Census tract,Tract 305,17031030500,6183,123463.99999999999,59.93166641,2.5488248924197285
Census tract,Tract 306.01,17031030601,3293,51136,42.91401274,9.696016771
Census tract,Tract 306.03,17031030603,2045,54415,46.09338881183541,14.754098360655735
Census tract,Tract 306.04,17031030604,3737,51031.99999999999,53.45506623702112,19.14480077745384
Census tract,Tract 307.01,17031030701,1671,51625,45.704918032786885,19.015659955257274
Census tract,Tract 307.02,17031030702,2318,60132.99999999999,44.70695138573376,7.543520309477756
Census tract,Tract 307.03,17031030703,3075,68861,51.02239532619279,26.153846153846157
Census tract,Tract 307.06,17031030706,2933,50430.99999999999,60.67629179331308,7.559958289885298
Census tract,Tract 308,17031030800,4284,96719,68.43778383287919,3.515981735159817
Census tract,Tract 309,17031030900,2952,97375,71.47177419354838,0.95177665
Census tract,Tract 310,17031031000,3868,117113.99999999999,62.944429813010274,1.7848528702363726
Census tract,Tract 311,17031031100,4691,83352,58.07618642264312,5.054274084
Census tract,Tract 312,17031031200,5541,27869,26.40685368721653,33.47541915316851
Census tract,Tract 313,17031031300,6719,65617,54.90425376406958,13.747477012783134
Census tract,Tract 314,17031031400,5221,87499.99999999999,70.94948648082163,4.808296668761785
Census tract,Tract 315.01,17031031501,4155,51731,30.173841059602648,33.25335892514396
Census tract,Tract 315.02,17031031502,4712,47674,41.27429805615551,30.286168521462635
Census tract,Tract 317,17031031700,6294,82773.99999999999,65.45039908779931,5.804832130530279
Census tract,Tract 318,17031031800,1910,86158.99999999999,53.38383838383839,2.950152594099695
Census tract,Tract 319,17031031900,2522,92207.99999999999,73.37110481586402,4.043321299638989
Census tract,Tract 321,17031032100,7543,71804,46.71440606571188,14.977343191032674
Census tract,Tract 401,17031040100,3905,94318,62.83662477558348,1.8711018711018712
Census tract,Tract 402.01,17031040201,6408,103408.99999999999,70.90328847,4.005085823267642
